BJD,AIRMASS,SKY,TFLUX,CFLUX1,CFLUX2,CFLUX3,CFLUX4,CFLUX5
   9014.899750, 1.883,   196.0,    101559.2,    275809.9,    268503.6,    189162.7,    243690.7,    110145.8
   9014.901427, 1.891,   195.0,    106056.3,    287946.2,    280710.6,    197082.7,    256286.3,    115818.3
   9018.499888, 1.627,   227.0,    118755.5,    315492.6,    306697.1,    216934.1,    280828.0,    125400.1
   9018.501565, 1.621,   233.0,    118839.9,    316096.4,    307487.3,    216408.7,    280214.6,    125248.5
   9018.503243, 1.616,   238.0,    118389.2,    309597.1,    302831.8,    215200.4,    276321.7,    124680.8
   9018.504918, 1.611,   249.0,    118636.5,    315222.2,    305491.6,    214651.6,    279812.8,    123598.3
   9018.506593, 1.606,   253.0,    120671.8,    320465.4,    309840.9,    218427.0,    283278.0,    127062.0
   9018.508271, 1.601,   260.0,    119823.4,    319143.5,    310334.6,    219403.4,    283909.4,    127286.7
   9018.509951, 1.596,   270.0,    120065.5,    318489.9,    310218.8,    218804.2,    282248.2,    127340.8
   9018.511630, 1.592,   276.0,    109383.4,    289804.9,    281293.0,    202290.3,    260354.5,    115823.8
   9018.513322, 1.587,   283.0,    118425.7,    313248.2,    304524.0,    216928.6,    279566.1,    124722.4
   9018.515000, 1.582,   294.0,    118910.9,    311690.0,    303838.0,    213298.4,    276588.4,    125409.9
   9018.516674, 1.578,   303.0,    116256.4,    307464.0,    301391.9,    211979.2,    275441.9,    122973.7
   9018.518350, 1.573,   316.0,    115554.6,    307591.6,    300383.5,    212432.0,    273476.8,    122447.6
   9018.520026, 1.569,   333.0,    112840.5,    300072.2,    291699.1,    205764.1,    264930.8,    118633.3
   9018.521703, 1.564,   349.0,    119693.0,    317208.5,    306323.7,    216868.9,    281515.4,    124909.5
   9018.523377, 1.560,   373.0,    115394.5,    310406.9,    302705.2,    213225.9,    275471.8,    123459.9
   9018.526730, 1.551,   414.0,    116105.3,    305595.9,    298071.9,    211634.1,    271824.3,    122106.4
   9018.528406, 1.547,   441.0,    117317.2,    313384.8,    303783.4,    214108.7,    276342.7,    124162.4
   9018.530081, 1.543,   462.0,    118559.6,    314698.0,    305786.4,    216583.1,    279816.7,    125528.4
   9018.531756, 1.539,   486.0,    118529.8,    315198.7,    307094.6,    217096.9,    281399.1,    125550.3
   9018.533433, 1.535,   513.0,    120304.9,    319661.5,    307946.1,    217960.7,    283502.8,    127652.0
   9018.535110, 1.531,   539.0,    112837.3,    297586.8,    288824.4,    206954.8,    262696.7,    119314.4
   9018.536785, 1.527,   573.0,    115209.9,    305213.3,    294577.4,    206874.0,    269703.8,    121561.6
   9018.538460, 1.523,   606.0,    115938.7,    306686.8,    300321.1,    212177.3,    274169.1,    123397.4
   9018.540135, 1.520,   636.0,    117545.7,    310021.6,    302529.6,    213836.9,    274414.2,    124370.8
   9018.541811, 1.516,   675.0,    119125.9,    315615.9,    309501.7,    217228.5,    282367.5,    126675.5
   9018.543488, 1.512,   715.0,    121393.7,    320349.8,    310659.5,    220154.8,    284711.6,    127165.1
   9018.545163, 1.509,   759.0,    118686.7,    314183.2,    302656.8,    215456.9,    277895.7,    125935.4
   9018.546842, 1.505,   811.0,    119410.5,    315272.3,    307330.9,    213765.3,    280320.6,    125986.9
